Work Program Group,Work Program,Unit,Fiscal Year,"Bank Budget (BB) (US$, Millions)","All Funds (US$, Millions)",Notes
Centrally Managed Accounts & Miscellaneous Programs,Centrally Managed Accounts & Miscellaneous Programs,Centrally Managed Accounts & Miscellaneous Programs,2015,311.3,441.5,
Client Engagement,Country Engagement,Africa,2015,167.8,355.5,
Client Engagement,Country Engagement,East Asia & Pacific,2015,80.4,197.4,
Client Engagement,Country Engagement,Europe & Central Asia,2015,76.6,137.8,
Client Engagement,Country Engagement,Latin America & Caribbean,2015,86.3,134.6,
Client Engagement,Country Engagement,Middle East & North Africa,2015,49.0,95.0,
Client Engagement,Country Engagement,Other Operational Units' Allocations,2015,0.0,0.0,
Client Engagement,Country Engagement,South Asia,2015,77.6,154.6,
Client Engagement,Global Engagement,Global Engagement,2015,84.9,290.4,
Funded by External Funds - All Funds,Funded by External Funds - All Funds,Funded by External Funds - All Funds,2015,-31.3,-1242.7,"For Bank Budget columns, this line only shows reimbursables."
"Institutional, Governance and Administrative Services",Administrative Services,Global Corporate Solutions,2015,129.0,174.0,
"Institutional, Governance and Administrative Services",Administrative Services,Human Resources,2015,56.6,72.8,
"Institutional, Governance and Administrative Services",Administrative Services,Information & Technology Solutions,2015,230.9,273.7,
"Institutional, Governance and Administrative Services",Governance Services,Administrative Tribunal,2015,1.5,2.1,
"Institutional, Governance and Administrative Services",Governance Services,Boards,2015,86.8,87.5,"Includes Executive Directors and up to FY20 Board of Governors, Development Committee Secretariat, and Inspection Panel."
"Institutional, Governance and Administrative Services",Governance Services,Conflict Resolution System,2015,3.6,4.9,
"Institutional, Governance and Administrative Services",Governance Services,Corporate Secretariat,2015,14.1,14.1,
"Institutional, Governance and Administrative Services",Governance Services,Group Internal Audit,2015,7.4,10.0,
"Institutional, Governance and Administrative Services",Governance Services,Independent Evaluation Group,2015,26.5,35.1,
"Institutional, Governance and Administrative Services",Governance Services,Inspection Panel,2015,0.0,0.0,Inspection Panel previously captured under Boards
"Institutional, Governance and Administrative Services",Governance Services,Integrity Vice Presidency,2015,14.4,18.6,
"Institutional, Governance and Administrative Services",Governance Services,Managing Directors,2015,8.7,8.7,"In FY17, Managing Directors line item was separated to show the Office of the CEO, MD and CAO, MD and CFO, and SVPMM separately."
"Institutional, Governance and Administrative Services",Governance Services,Office of Ethics and Business Conduct,2015,3.7,5.2,
"Institutional, Governance and Administrative Services",Governance Services,"Office of Managing Director, Development Policy And Partnerships",2015,0.0,0.0,
"Institutional, Governance and Administrative Services",Governance Services,Office of Senior Vice President Mahmoud Mohieldin,2015,0.0,0.0,
"Institutional, Governance and Administrative Services",Governance Services,Office of Suspension & Debarment,2015,1.5,1.5,
"Institutional, Governance and Administrative Services",Governance Services,"Office of the Managing Director, Operations",2015,0.0,0.0,
"Institutional, Governance and Administrative Services",Governance Services,Office of the Managing Director and WBG Chief Administrative Officer,2015,0.0,0.0,
"Institutional, Governance and Administrative Services",Governance Services,Office of the Managing Director and WBG Chief Financial Officer,2015,0.0,0.0,
"Institutional, Governance and Administrative Services",Governance Services,Office of the President,2015,7.5,7.5,
"Institutional, Governance and Administrative Services",Governance Services,Sanctions Board,2015,1.5,1.5,
